medtop_id,label,description
medtop:01000000,"arts, culture, entertainment and media","All forms of arts, entertainment, cultural heritage and media"
medtop:02000000,"crime, law and justice","The establishment and/or statement of the rules of behavior in society, the enforcement of these rules, breaches of the rules, the punishment of offenders and the organizations and bodies involved in these activities"
medtop:03000000,"disaster, accident and emergency incident","Man made or natural event resulting in loss of life or injury to living creatures and/or damage to inanimate objects or property"
medtop:04000000,"economy, business and finance","All matters concerning the planning, production and exchange of wealth."
medtop:05000000,"education","All aspects of furthering knowledge, formally or informally"
medtop:06000000,"environment","The protection, damage, and condition of the ecosystem of the planet Earth and its surroundings"
medtop:07000000,"health","All aspects of physical and mental well-being"
medtop:08000000,"human interest","Item that discusses individuals, groups, animals, plants or other objects in an emotional way"
medtop:09000000,"labor","Social aspects, organizations, rules and conditions affecting the employment of human effort for the generation of wealth or provision of services and the economic support of the unemployed."
medtop:10000000,"lifestyle and leisure","Activities undertaken for pleasure, relaxation or recreation outside paid employment, including eating and travel."
medtop:11000000,"politics and government","Local, regional, national and international exercise of power, the day-to-day running of government, and the relationships between governing bodies and states."
medtop:12000000,"religion","Belief systems, institutions and people who provide moral guidance to followers"
medtop:13000000,"science and technology","All aspects pertaining to human understanding of, as well as methodical study and research of natural, formal and social sciences, such as astronomy, linguistics or economics"
medtop:14000000,"society","The concerns, issues, affairs and institutions relevant to human social interactions, problems and welfare, such as poverty, human rights and family planning"
medtop:15000000,"sport","Competitive activity or skill that involves physical and/or mental effort and organizations and bodies involved in these activities"
medtop:16000000,"conflict, war and peace","Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts"
medtop:17000000,"weather","The study, prediction and reporting of meteorological phenomena"
